Entity,Code,Year,Coal consumption - TWh
Oceania,,1992,470.58212
Oceania,,1993,473.29514
Oceania,,1994,481.8816
Oceania,,1995,497.82205
Oceania,,1996,517.4161
Oceania,,1997,543.98663
Oceania,,1998,566.33044
Oceania,,1999,601.0144
Oceania,,2000,604.52185
Oceania,,2001,601.6179
Oceania,,2002,614.7907
Oceania,,2003,638.9957
Oceania,,2004,665.6598
Oceania,,2005,664.6498
Oceania,,2006,681.5204
Oceania,,2007,669.5235
Oceania,,2008,701.76373
Oceania,,2009,673.68024
Oceania,,2010,623.46625
Oceania,,2011,608.33185
Oceania,,2012,574.74036
Oceania,,2013,544.1194
Oceania,,2014,538.39825
Oceania,,2015,557.08466
Oceania,,2016,553.8584
Oceania,,2017,536.0623
Oceania,,2018,524.55505
Oceania,,2019,503.47388
Oceania,,2020,484.45142
Oceania,,2021,470.82956
Oceania,,2022,443.4816
Oman,OMN,1994,0.0001392986
Oman,OMN,1995,0.00007569444
Oman,OMN,1996,0.000048375
Oman,OMN,1997,0.00038900555
Oman,OMN,1998,0.0005585472
Oman,OMN,1999,0.00006673611
Oman,OMN,2000,0.0029031388
Oman,OMN,2001,0.0016395556
Oman,OMN,2002,0.0039049166
Oman,OMN,2003,0
Oman,OMN,2004,0.009284611
Oman,OMN,2005,0.0036508888
Oman,OMN,2006,0.035779163
Oman,OMN,2007,0.008164
Oman,OMN,2008,0.013950194
Oman,OMN,2009,0.016285306
Oman,OMN,2010,0.3446064
Oman,OMN,2011,0.11837333
Oman,OMN,2012,0.35913944
Oman,OMN,2013,0.5224439
Oman,OMN,2014,0.41572553
Oman,OMN,2015,0.5721903
Oman,OMN,2016,0.64058
Oman,OMN,2017,0.8834947
Oman,OMN,2018,0.8663694
Oman,OMN,2019,0.97515744
Oman,OMN,2020,1.1217446
Oman,OMN,2021,0.97774804
Oman,OMN,2022,0.97774804
Pakistan,PAK,1965,16.03777
Pakistan,PAK,1966,13.53732
Pakistan,PAK,1967,13.00234
Pakistan,PAK,1968,14.316529
Pakistan,PAK,1969,12.88604
Pakistan,PAK,1970,10.73449
Pakistan,PAK,1971,7.23292
Pakistan,PAK,1972,6.81518
Pakistan,PAK,1973,6.76866
Pakistan,PAK,1974,6.1987896
Pakistan,PAK,1975,6.01271
Pakistan,PAK,1976,5.95456
Pakistan,PAK,1977,6.4779096
Pakistan,PAK,1978,6.8965898
Pakistan,PAK,1979,7.68743
Pakistan,PAK,1980,8.18752
Pakistan,PAK,1981,9.29237
Pakistan,PAK,1982,10.536779
Pakistan,PAK,1983,11.95564
Pakistan,PAK,1984,13.56058
Pakistan,PAK,1985,15.38649
Pakistan,PAK,1986,17.456629
Pakistan,PAK,1987,19.81752
Pakistan,PAK,1988,20.724659
Pakistan,PAK,1989,22.70176
Pakistan,PAK,1990,24.06247
Pakistan,PAK,1991,23.81824
Pakistan,PAK,1992,24.45789
Pakistan,PAK,1993,25.67904
Pakistan,PAK,1994,25.49296
Pakistan,PAK,1995,25.702301
Pakistan,PAK,1996,26.051199
Pakistan,PAK,1997,24.35322
Pakistan,PAK,1998,24.37648
Pakistan,PAK,1999,24.38811
Pakistan,PAK,2000,23.58564
Pakistan,PAK,2001,24.48115
Pakistan,PAK,2002,27.4468
Pakistan,PAK,2003,35.223816
Pakistan,PAK,2004,39.279713
Pakistan,PAK,2005,43.60852
Pakistan,PAK,2006,46.207226
Pakistan,PAK,2007,63.226902
Pakistan,PAK,2008,69.673096
Pakistan,PAK,2009,57.295914
Pakistan,PAK,2010,53.84872
Pakistan,PAK,2011,46.427776
Pakistan,PAK,2012,47.08847
Pakistan,PAK,2013,37.305233
Pakistan,PAK,2014,54.99725
Pakistan,PAK,2015,54.262775
Pakistan,PAK,2016,62.120884
Pakistan,PAK,2017,83.12105
Pakistan,PAK,2018,137.64632
Pakistan,PAK,2019,156.56241
Pakistan,PAK,2020,181.74779
Pakistan,PAK,2021,200.75873
Pakistan,PAK,2022,177.12915
Peru,PER,1965,0.4197064
Peru,PER,1966,0.5294025
Peru,PER,1967,0.5961738
Peru,PER,1968,0.59140444
Peru,PER,1969,0.996803
Peru,PER,1970,1.0111111
Peru,PER,1971,1.4180555
Peru,PER,1972,1.5341666
Peru,PER,1973,1.7547221
Peru,PER,1974,1.871111
Peru,PER,1975,1.9525
Peru,PER,1976,1.5108334
Peru,PER,1977,1.7316666
Peru,PER,1978,1.476111
Peru,PER,1979,1.5688889
Peru,PER,1980,1.6505555
Peru,PER,1981,1.673611
Peru,PER,1982,1.8944443
Peru,PER,1983,1.6038889
Peru,PER,1984,1.2786111
Peru,PER,1985,1.3947221
Peru,PER,1986,1.8944443
Peru,PER,1987,2.138611
Peru,PER,1988,2.103611
Peru,PER,1989,2.336111
Peru,PER,1990,1.685
Peru,PER,1991,3.2658334
Peru,PER,1992,3.196111
Peru,PER,1993,3.3588889
Peru,PER,1994,4.1375
Peru,PER,1995,4.3466663
Peru,PER,1996,4.5558333
Peru,PER,1997,4.7419443
Peru,PER,1998,5.198611
Peru,PER,1999,4.714722
Peru,PER,2000,7.3238883
Peru,PER,2001,6.6452775
Peru,PER,2002,9.1
Peru,PER,2003,9.765555
Peru,PER,2004,10.559443
Peru,PER,2005,10.716666
Peru,PER,2006,9.118055
Peru,PER,2007,12.038889
Peru,PER,2008,10.734722
Peru,PER,2009,9.643888
Peru,PER,2010,9.457777
Peru,PER,2011,9.511666
Peru,PER,2012,10.151944
Peru,PER,2013,10.23861
Peru,PER,2014,10.111112
Peru,PER,2015,9.424167
Peru,PER,2016,10.047221
Peru,PER,2017,8.715277
Peru,PER,2018,7.86575
Peru,PER,2019,8.185528
Peru,PER,2020,5.945166
Peru,PER,2021,5.980305
Peru,PER,2022,8.137307
Philippines,PHL,1965,0.5155231
Philippines,PHL,1966,0.48839027
Philippines,PHL,1967,0.37985915
Philippines,PHL,1968,0.17364998
Philippines,PHL,1969,0.22791556
Philippines,PHL,1970,0.22791556
Philippines,PHL,1971,0.22248888
Philippines,PHL,1972,0.21706222
